"Data","Od","Do","Przedmiot","Semestr","Grupa","Sala"
"2019.02.26","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 302"
"2019.02.26","16:15","18:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 302"
"2019.02.27","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.02.27","14:15","16:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_W_14","WI WI2- 100"
"2019.02.28","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.02.28","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.03.03","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_W_3","WI WI1- 013"
"2019.03.03","15:10","16:45","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.03.03","16:50","18:25","Programowanie 2","semestr 2","N1_I_L_10 B","WI WI1- 303"
"2019.03.04","08:15","10:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_W_31","WI WI2- 126"
"2019.03.04","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31C","WI WI1- 315"
"2019.03.05","14:15","16:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_L_14 A","WI WI1- 302"
"2019.03.06","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.03.06","14:15","16:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31B","WI WI1- 316"
"2019.03.07","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.03.07","12:15","14:00","Programowanie w językach skryptowych","semestr 6_spec","BP1_PWJS_L_31A","WI WI1- 308"
"2019.03.07","14:15","16:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.03.10","09:40","11:20","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
"2019.03.10","11:25","13:00","Programowanie 2","semestr 2","N1_I_L_10 B","WI WI1- 303"
"2019.03.10","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_W_3","WI WI1- 013"
"2019.03.13","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_222 A","WI WI1- 316"
"2019.03.13","14:15","16:00","Programowanie sieciowe","semestr 1_spec","lato_S2_I_W_14","WI WI2- 100"
"2019.03.14","08:15","10:00","Historia informatyki","semestr 1","lato_HSPO1_Hi_W","WI WI2- 100"
"2019.03.14","10:15","12:00","Systemy operacyjne II","semestr 4","S1_I_L_213 B","WI WI1- 308"
"2019.03.14","12:15","14:00","Systemy operacyjne II","semestr 4","S1_I_L_220 B","WI WI1- 308"
"2019.03.16","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_30 B","WI WI1- 310"
"2019.03.16","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","semestr 6_spec","PO IV_Pkg_L_31 A","WI WI1- 310"
"2019.03.17","09:40","11:20","Programowanie 2","semestr 2","N1_I_L_10 A","WI WI1- 303"
